α_v,α_s,decay,MSE
0.44,0.7,0.61,1.1209491551667538e7
0.46,0.62,0.35,1.1141055743693065e7
0.41,0.77,0.58,1.1244215433961092e7
0.99,0.1,0.59,1.1243327935865209e7
0.16,0.73,0.04,1.1276579928572007e7
0.49,0.7,0.33,1.1171500431472717e7
0.56,0.07,0.86,1.1192098356900688e7
0.02,0.7,0.16,1.1274267662639342e7
0.99,0.22,0.87,1.1233474555332799e7
0.29,0.19,0.89,1.1067655974722885e7
0.47,0.44,0.93,1.1082670658617394e7
0.56,0.77,0.93,1.1200711097878378e7
0.66,0.86,0.67,1.1206233581654876e7
0.1,0.06,0.63,1.1058901535249274e7
0.48,0.36,0.77,1.1058524950233687e7
0.84,0.15,0.76,1.1216685317644143e7
0.01,0.48,0.72,1.1277963327661155e7
0.57,0.05,0.44,1.1204689159931853e7
0.64,0.45,0.55,1.1059615458960928e7
0.32,0.14,0.63,1.1081783328523213e7
0.77,0.64,0.46,1.105946553893916e7
0.64,0.33,0.64,1.1101027731016435e7
0.05,0.99,0.29,1.1267252702026311e7
0.13,0.12,0.37,1.103090863446007e7
0.25,0.97,0.58,1.1278974134489387e7
0.99,0.66,0.42,1.1173326484748881e7
0.92,0.46,0.59,1.117676692412315e7
0.06,0.92,0.11,1.1272876767860057e7
0.82,0.4,0.99,1.1166817140517576e7
0.15,0.58,0.03,1.1267959907195155e7
0.12,0.17,0.17,1.109314762612553e7
0.24,1.0,0.17,1.127915159217396e7
0.49,0.01,0.7,1.1211447422501713e7
0.29,0.9,0.12,1.1274058814341713e7
0.52,0.64,0.38,1.1119559723132763e7
0.25,0.03,0.42,1.1171409945978938e7
0.7,0.61,0.58,1.1060855501086043e7
0.11,0.53,0.53,1.1275438534847176e7
0.6,0.43,0.05,1.1015193058043282e7
0.71,0.35,0.68,1.1124104525302801e7
0.24,0.4,0.33,1.1163677037961572e7
0.42,0.9,0.72,1.1269639216993611e7
0.12,0.02,0.49,1.115310969453941e7
0.9,0.12,0.43,1.12242437682079e7
0.1,0.27,0.21,1.122240454486189e7
0.13,0.07,0.86,1.1081807893136464e7
0.01,0.4,0.13,1.1278982226428833e7
0.62,0.29,0.52,1.1099572895162132e7
0.19,0.3,0.94,1.1182689386346318e7
0.5,0.57,0.64,1.110754401790576e7
0.77,0.25,0.02,1.1067117571965102e7
0.71,0.43,0.07,1.1031710529000781e7
0.27,0.48,0.01,1.1170602022730017e7
0.42,0.61,0.62,1.1176030409550821e7
0.73,0.44,0.12,1.1036636833524663e7
0.32,0.11,0.24,1.1088513179281157e7
0.63,0.4,0.82,1.10877419043403e7
0.99,0.38,0.73,1.1214837878540948e7
0.97,0.79,0.75,1.1179564485831378e7
0.5,0.46,0.94,1.1081425527383387e7
0.95,0.08,0.76,1.124447698417626e7
0.87,0.34,0.37,1.1158250870421683e7
0.19,0.2,0.11,1.101733744853152e7
0.13,0.67,0.32,1.1277884582285363e7
0.07,0.87,0.48,1.127304747392039e7
0.39,0.62,0.29,1.117913585365257e7
0.42,0.55,0.53,1.1136290074806677e7
0.35,0.18,0.12,1.1009528937523376e7
0.79,0.13,0.6,1.1209753754637014e7
0.56,0.19,0.76,1.113563531113294e7
