α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.88,0.08,0.17,0.32,0.65,0.21,0.43,0.18,9.517031402568134e6
0.03,0.29,0.77,0.28,0.56,0.53,0.47,0.44,9.52997175652768e6
0.16,0.11,0.37,0.44,0.42,0.43,0.03,0.98,9.430104324740542e6
0.92,0.3,0.53,0.76,0.78,0.86,0.61,0.98,9.572403727548037e6
0.72,0.14,0.08,0.25,0.99,0.31,0.14,0.24,9.590773382654302e6
0.82,0.12,0.26,0.25,0.81,0.94,0.99,0.76,9.580186420126835e6
0.84,0.69,0.06,0.85,0.87,0.74,0.51,0.99,9.555334717672365e6
0.47,0.15,0.55,0.49,0.91,0.05,0.33,0.29,9.667604135349717e6
0.41,0.64,0.13,0.74,0.21,0.32,0.3,0.35,9.37962836398048e6
0.79,0.2,0.56,0.8,0.74,0.58,0.66,0.6,9.607114485814918e6
0.37,0.17,0.29,0.49,0.86,0.21,0.47,0.79,9.572800277835606e6
0.45,0.54,0.59,0.66,0.23,0.04,0.64,0.52,9.532810507420624e6
0.49,0.69,0.33,0.77,0.23,0.52,0.37,0.05,9.38866471408641e6
0.11,0.14,0.68,0.72,0.38,0.32,0.64,0.76,9.576255795151172e6
0.47,0.18,0.47,0.31,0.46,0.62,0.63,0.66,9.492689157240182e6
